iter	Passed	Remaining
0	6	1915
1	12	1874
2	18	1835
3	24	1791
4	30	1774
5	36	1767
6	41	1750
7	47	1723
8	52	1696
9	58	1690
10	64	1698
11	70	1683
12	76	1697
13	83	1705
14	89	1705
15	95	1698
16	101	1694
17	108	1695
18	115	1700
19	121	1694
20	127	1692
21	133	1689
22	139	1686
23	147	1700
24	154	1701
25	162	1709
26	169	1717
27	177	1725
28	184	1723
29	192	1733
30	201	1751
31	209	1757
32	216	1755
33	224	1759
34	233	1770
35	242	1778
36	250	1783
37	258	1780
38	265	1778
39	274	1785
40	283	1792
41	293	1801
42	300	1797
43	309	1800
44	319	1808
45	327	1809
46	334	1800
47	344	1806
48	351	1798
49	358	1794
50	366	1790
51	374	1785
52	380	1772
53	387	1765
54	394	1758
55	401	1749
56	408	1740
57	414	1731
58	421	1722
59	428	1715
60	435	1704
61	441	1694
62	447	1684
63	454	1674
64	460	1665
65	466	1654
66	473	1647
67	479	1637
68	486	1629
69	493	1622
70	500	1613
71	507	1607
72	514	1600
73	521	1593
74	528	1584
75	534	1575
76	540	1566
77	546	1556
78	553	1547
79	560	1540
80	567	1534
81	573	1525
82	579	1516
83	587	1511
84	595	1506
85	602	1499
86	610	1493
87	616	1484
88	623	1478
89	631	1473
90	638	1466
91	645	1458
92	653	1453
93	661	1448
94	670	1446
95	679	1443
96	687	1438
97	694	1431
98	702	1425
99	709	1418
100	716	1412
101	719	1396
102	727	1390
103	734	1383
104	741	1376
105	749	1371
106	757	1366
107	766	1362
108	773	1355
109	780	1348
110	788	1342
111	796	1336
112	805	1332
113	811	1323
114	818	1316
115	824	1307
116	830	1299
117	837	1291
118	843	1283
119	850	1275
120	856	1267
121	862	1258
122	869	1251
123	875	1242
124	882	1234
125	888	1226
126	894	1218
127	901	1211
128	908	1204
129	914	1196
130	921	1189
131	928	1181
132	935	1174
133	941	1166
134	948	1159
135	955	1152
136	963	1146
137	971	1140
138	978	1133
139	985	1126
140	993	1120
141	1000	1113
142	1006	1105
143	1013	1097
144	1020	1090
145	1028	1084
146	1035	1077
147	1041	1069
148	1048	1062
149	1054	1054
150	1060	1046
151	1068	1040
152	1077	1034
153	1087	1030
154	1095	1024
155	1102	1017
156	1110	1011
157	1116	1003
158	1125	998
159	1133	991
160	1140	984
161	1148	978
162	1156	971
163	1163	964
164	1171	958
165	1179	951
166	1187	945
167	1195	939
168	1203	932
169	1210	925
170	1218	918
171	1226	913
172	1234	906
173	1242	899
174	1249	892
175	1256	885
176	1264	878
177	1270	871
178	1277	863
179	1285	857
180	1292	849
181	1299	842
182	1305	834
183	1311	826
184	1317	819
185	1323	811
186	1329	803
187	1335	795
188	1342	788
189	1348	780
190	1354	773
191	1361	765
192	1367	757
193	1373	750
194	1378	742
195	1385	735
196	1392	727
197	1398	720
198	1404	712
199	1410	705
200	1417	698
201	1424	691
202	1431	683
203	1437	676
204	1445	669
205	1452	662
206	1459	655
207	1467	649
208	1475	642
209	1482	635
210	1488	628
211	1493	619
212	1500	612
213	1507	605
214	1515	599
215	1522	591
216	1530	585
217	1537	578
218	1545	571
219	1553	564
220	1561	558
221	1568	551
222	1575	544
223	1584	537
224	1592	530
225	1601	524
226	1608	517
227	1616	510
228	1624	503
229	1631	496
230	1638	489
231	1645	482
232	1653	475
233	1660	468
234	1667	461
235	1675	454
236	1684	447
237	1690	440
238	1698	433
239	1706	426
240	1713	419
241	1719	412
242	1726	405
243	1732	397
244	1738	390
245	1745	383
246	1751	375
247	1759	368
248	1766	361
249	1772	354
250	1779	347
251	1786	340
252	1792	333
253	1800	325
254	1806	318
255	1813	311
256	1820	304
257	1827	297
258	1834	290
259	1841	283
260	1849	276
261	1856	269
262	1863	262
263	1871	255
264	1879	248
265	1886	241
266	1893	233
267	1900	226
268	1908	219
269	1915	212
270	1921	205
271	1929	198
272	1936	191
273	1942	184
274	1958	178
275	1966	170
276	2034	168
277	2065	163
278	2083	156
279	2090	149
280	2097	141
281	2103	134
282	2109	126
283	2116	119
284	2122	111
285	2129	104
286	2135	96
287	2141	89
288	2147	81
289	2154	74
290	2160	66
291	2166	59
292	2172	51
293	2179	44
294	2187	37
295	2193	29
296	2200	22
297	2206	14
298	2213	7
299	2221	0
